rank,neighbourhood,nb_number,energy_burden_index,priority_tier,income_score,renter_score,consumption_score,age_score,est_kwh,renter_pct,dominant_type
69,Downsview,155.0,0.6187298777012586,High,0.8004,0.4865,0.5524,0.5257658513417242,10434.0,0.4731,Apt low-rise
70,Humber Summit,21.0,0.6173713797197815,High,0.9393,0.2479,0.5334,0.6219425314652102,10276.0,0.2799,Semi-detached
71,Flemingdon Park,44.0,0.6164039681785799,High,0.9566,0.6008,0.2,0.5426264545238658,7498.0,0.5656,Apt high-rise
72,Clairlea-Birchmount,120.0,0.6151342804559488,High,0.8178,0.3496,0.6071,0.598195203039658,10890.0,0.3622,Single detached
73,Danforth,66.0,0.6142908335312277,High,0.6095,0.3555,0.678,0.9506055568748513,11481.0,0.367,Apt low-rise
74,Greenwood-Coxwell,65.0,0.6124712906672999,High,0.6443,0.4077,0.6305,0.8494419377819993,11085.0,0.4093,Apt low-rise
75,Yorkdale-Glen Park,31.0,0.6117392127760626,High,0.8265,0.4737,0.5215,0.4910947518404176,10177.0,0.4627,Single detached
76,Don Valley Village,47.0,0.6116739361196865,High,0.8612,0.5116,0.4027,0.5445262407979098,9187.0,0.4934,Apt high-rise
77,Bayview Woods-Steeles,49.0,0.611617449536927,High,0.7918,0.449,0.5316,0.5955829969128471,10261.0,0.4427,Apt high-rise
78,Wychwood,94.0,0.6088503455236286,High,0.6703,0.5133,0.5293,0.7573023034908571,10242.0,0.4948,Apt low-rise
79,Stonegate-Queensway,16.0,0.604098847067205,High,0.5662,0.3614,0.7991,0.7720256471146995,12490.0,0.3718,Single detached
80,Alderwood,20.0,0.6033200569935881,High,0.6356,0.1884,0.8704,0.7744003799572544,13084.0,0.2317,Single detached
81,Newtonbrook East,50.0,0.6030315245784849,High,0.8785,0.371,0.5321,0.465210163856566,10265.0,0.3796,Single detached
82,Playter Estates-Danforth,67.0,0.6021276727618142,High,0.5488,0.5461,0.5669,0.8786511517454283,10555.0,0.5213,Apt high-rise
83,West Humber-Clairville,1.0,0.597471781049632,High,0.8872,0.3299,0.5479,0.45001187366421275,10397.0,0.3463,Single detached
84,Humber Heights-Westmount,8.0,0.5908906304915696,High,0.7397,0.3906,0.5598,0.629304203277131,10496.0,0.3954,Apt high-rise
85,Agincourt North,129.0,0.5896977986226549,High,0.9653,0.1671,0.562,0.463785324151033,10514.0,0.2145,Single detached
86,Pleasant View,46.0,0.5874115720731417,High,0.8698,0.2379,0.5277,0.6105438138209448,10228.0,0.2718,Semi-detached
87,Hillcrest Village,48.0,0.5859520850154357,High,0.8698,0.2417,0.5363,0.5801472334362383,10300.0,0.2749,Apt high-rise
88,East End Danforth,62.0,0.585914199715032,High,0.6182,0.4626,0.5649,0.7511279981002137,10538.0,0.4537,Apt low-rise
89,East L'Amoreaux,148.0,0.5843466124436001,High,0.9436,0.2116,0.4843,0.534077416290667,9867.0,0.2505,Apt high-rise
90,Mimico-Queensway,160.0,0.5833814557112325,High,0.6356,0.4817,0.5693,0.6544763714082161,10575.0,0.4692,Single detached
91,Malvern West,145.0,0.579668151270482,High,0.9306,0.227,0.5231,0.44288767513654687,10190.0,0.263,Row house
