neighbourhood,nb_number,est_kwh,base_kwh,age_factor,consumption_score,renter_pct,renter_score,income_score,dominant_type
The Beaches,63.0,11362.0,8259.0,1.3758,0.6637,0.3664,0.3547,0.2885,Apt low-rise
West Rouge,143.0,11268.0,9310.0,1.2103,0.6525,0.205,0.1554,0.705,Single detached
Dovercourt Village,172.0,11260.0,7962.0,1.4142,0.6515,0.4539,0.4628,0.7918,Apt low-rise
O`Connor Parkview,54.0,11234.0,8298.0,1.3538,0.6484,0.5422,0.5719,0.8004,Single detached
St.Andrew-Windfields,40.0,11227.0,8923.0,1.2583,0.6475,0.3617,0.3489,0.6095,Single detached
Pelmo Park-Humberlea,23.0,11203.0,9021.0,1.2418,0.6447,0.1865,0.1325,0.757,Single detached
Blake-Jones,69.0,11163.0,7939.0,1.406,0.6399,0.4597,0.47,0.7831,Semi-detached
Woodbine Corridor,64.0,11119.0,8002.0,1.3895,0.6346,0.4011,0.3976,0.5315,Apt low-rise
Greenwood-Coxwell,65.0,11085.0,7978.0,1.3894,0.6305,0.4093,0.4077,0.6443,Apt low-rise
Golfdale-Cedarbrae-Woburn,141.0,11059.0,8283.0,1.3351,0.6274,0.5017,0.5219,0.9393,Single detached
Mount Pleasant East,99.0,10999.0,8156.0,1.3486,0.6202,0.4491,0.4569,0.3492,Apt high-rise
Willowridge-Martingrove-Richview,7.0,10901.0,8347.0,1.3059,0.6084,0.457,0.4667,0.731,Apt high-rise
Clairlea-Birchmount,120.0,10890.0,8484.0,1.2836,0.6071,0.3622,0.3496,0.8178,Single detached
